BRANCHCODE,BRANCH,TARGETLTL,TARGETFTL
502,BARODA,13.0,17.8
549,DASHRAT,10.0,5.0
519,HALOL,6.5,0.0
512,JAMNAGAR,0.0,0.0
509,ANKLESHWAR,9.0,9.2
594,KOSAMBA,1.6,0.0
511,SURAT CITY,19.1,13.6
577,SACHIN,0.0,0.0
537,UMBERGAON,7.0,12.1
507,VAPI,25.9,59.7
570,ANAND NEW (SF),0.2,0.0
514,BHAV NAGAR,6.3,5.6
518,GANDHI DHAM,2.0,4.0
508,JETPUR,4.6,0.0
575,MEHSANA,0.0,0.0
504,RAJKOT,25.0,48.0
548,SHAPAR,8.1,0.1
517,SARKHEJ,19.0,3.3
579,SAVARKUNDLA-SF,0.0,0.0
520,SURENDER NAGAR,3.0,0.0
521,BHIWANDI,53.4,67.2
595,PURNA (BHIWANDI),44.0,8.0
522,MUMBAI,6.0,2.2
534,MUMBAI (ANDHERI),9.0,4.5
531,GOA,8.0,15.3
556,TALOJA,8.0,8.5
535,TARAPUR,3.2,1.0
533,DOMBIVILI-EAST,0.6,0.0
576,THANE (CLOSED),0.0,0.0
572,PALGHAR (CLOSED),0.0,0.0
589,PALGHAR NEW SF,8.0,0.0
539,VASAI,23.0,8.7
529,AURANGABAD,7.5,12.3
593,JALGAON OFFICE,0.0,0.0
525,NAGPUR,12.0,16.2
523,NASIK,21.5,26.3
524,POONA,26.0,60.0
564,PHURSUNGI,0.0,0.0
543,RAIPUR,1.0,4.0
563,SANGLI-SF,14.0,0.0
592,SINNAR,6.5,0.0
536,KOLHAPUR,3.5,2.0
571,RANJANGAON,4.8,0.0
528,ICHALKARANJEE (CLOSED),0.0,0.0
532,JALGAON-SF,6.5,0.0
530,SOLAPUR,1.8,0.0
585,INDORE,26.6,44.3
541,INDORE-HUB,0.0,0.0
547,MANDIDEEP,4.0,24.0
542,PITHAM PUR,9.0,23.0
546,INDORE BURHANPUR,0.2,0.0
607,PALIA,0.0,0.0
602,RAXAUL,4.0,2.0
601,SUNAULI,0.6,0.3
